Time,Buffer,Buffer,Buffer,M24 80,M24 40,M24 20,M24 10,M24 5
182,2646,2376,2384,67857,45528,23500,12303,4736
182.5,2741,2366,2363,67789,45282,23511,12311,4674
183,2779,2480,2439,68669,45331,23504,12402,4766
183.5,2697,2462,2420,67790,45269,23328,12252,4769
184,2736,2462,2346,67671,45180,23349,12338,4697
184.5,2722,2466,2369,68393,45048,23172,12358,4680
185,2734,2506,2503,67581,45200,23396,12270,4670
185.5,2688,2564,2448,67589,45028,23279,12344,4733
186,2696,2406,2389,67484,44928,23249,12195,4690
186.5,2721,2508,2397,67039,44969,23419,12384,4726
187,2718,2379,2367,67716,44915,23329,12242,4720
187.5,2690,2412,2372,67466,44804,23208,12126,4748
188,2692,2462,2402,67094,45061,23526,12350,4693
188.5,2674,2472,2411,67481,45102,23346,12378,4743
189,2711,2455,2430,67227,44860,23290,12302,4762
189.5,2681,2468,2388,67267,44878,23029,12242,4713
190,2708,2548,2388,66952,44937,23219,12319,4649
190.5,2688,2467,2409,66789,44963,23050,12248,4684
191,2671,2458,2436,66441,44883,23078,12270,4732
191.5,2682,2539,2453,67116,44592,22836,12218,4643
192,2684,2439,2430,67067,44933,23253,12269,4667
192.5,2694,2460,2507,66892,44590,23039,12131,4589
193,2674,2400,2405,66535,44778,23241,12247,4658
193.5,2642,2436,2386,67162,44739,23008,12244,4634
194,2728,2393,2431,66501,44521,23073,12190,4684
194.5,2677,2391,2374,66592,44086,23093,12128,4715
195,2675,2414,2391,66266,44545,23052,12140,4745
195.5,2653,2398,2383,66689,44474,22972,12212,4642
196,2716,2396,2374,66228,44590,23178,12258,4666
196.5,2677,2319,2331,66434,44464,23113,12244,4681
197,2714,2406,2415,66776,44326,22995,12318,4656
197.5,2731,2430,2369,66558,44629,22964,12178,4704
198,2691,2438,2448,66002,44331,22932,12244,4716
198.5,2715,2480,2382,66373,44697,22890,12032,4596
199,2761,2456,2426,66318,44774,23036,12169,4683
199.5,2648,2427,2372,66311,44290,22806,12226,4661
200,2713,2404,2349,65781,44330,22909,12235,4548
200.5,2670,2407,2338,66286,44380,23028,12153,4634
201,2692,2435,2336,66384,44225,22962,12064,4668
201.5,2691,2499,2463,65513,44028,22868,12075,4607
202,2709,2392,2411,66180,44685,22976,12187,4626
202.5,2726,2495,2448,65825,44322,23018,12254,4668
203,2708,2435,2426,65475,44432,22999,12156,4661
203.5,2686,2472,2428,65536,44231,22741,12196,4723
204,2722,2476,2369,66135,44590,22822,12169,4602
204.5,2694,2406,2361,65961,44399,22793,12186,4619
205,2673,2387,2334,65565,43740,22763,12063,4595
205.5,2757,2445,2421,65874,44396,23009,12281,4670
206,2686,2463,2348,65187,44012,22904,12070,4671
206.5,2695,2352,2337,65438,44311,22799,12185,4648
207,2689,2388,2329,65664,43644,22886,12115,4614
207.5,2679,2391,2408,65561,43874,22808,12108,4738
208,2684,2370,2362,65796,44329,22853,12179,4656
208.5,2672,2416,2410,64916,43896,22705,12050,4743
209,2713,2396,2384,65476,44010,22800,12030,4606
209.5,2653,2437,2357,65052,43966,23002,12112,4594
210,2750,2449,2375,64743,43931,22758,12087,4714
210.5,2711,2481,2454,65379,43612,22834,11990,4641
211,2680,2541,2430,64958,43862,22686,12044,4624
211.5,2729,2503,2408,65242,43845,22794,12132,4645
212,2674,2302,2294,65307,43898,22875,12010,4650
212.5,2634,2398,2320,64906,43577,22766,12120,4663
213,2627,2505,2489,64708,43622,22809,11902,4642
